category,title,description,views,likes,comments,publishedAt
Music,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),"Stream “GLORIOUS” Out Everywhere: https://glorilla.lnk.to/Glorious

Follow #GloRilla: 

Instagram: https://www.instagram.com/glorillapimp/
Twitter: https://twitter.com/GloTheofficial
TikTok: https://www.tiktok.com/@glorilla03
Facebook: https://www.facebook.com/gloyaltygirl
Merch: https://shop.glorillaofficial.com/

Keep up with GloRilla on #GloRidaz:
Instagram: https://www.instagram.com/gloridazofficial/
Twitter: https://twitter.com/RealGloridaz
TikTok: https://www.tiktok.com/@gloridazofficial
 
#GloRilla #GLORIOUS #CMGTheLabel

Music video by GloRilla performing WHATCHU KNO ABOUT ME.© 2024 CMG/Interscope Records",1884034,101986,5838,2024-10-11T04:00:06Z
Music,Rod Wave - 25 (Official Audio),"Listen To Rod Wave's New Album ""Last Lap""
http://rodwave.lnk.to/LastLap

Everything Rod Wave: 
https://official-rodwave.com

Last Lap Tour Tickets:
http://rodwave.lnk.to/LastLapTickets

Follow Rod Wave:
► Instagram: https://www.instagram.com/rodwave/
► TikTok: https://rodwave.lnk.to/tiktok
► Facebook: https://www.facebook.com/rodwave
► Snapchat: https://www.snapchat.com/add/therealrodwave
► Discord: https://discord.gg/rodwave
► Twitter: https://twitter.com/rodwave

Listen to Rod Wave:
► Apple Music: https://rodwave.lnk.to/applemusic
► YouTube: https://rodwave.lnk.to/youtube
► Spotify: https://rodwave.lnk.to/spotify
► SoundCloud: https://rodwave.lnk.to/soundcloud
► Amazon: https://rodwave.lnk.to/amazonmusic
► TIDAL: https://rodwave.lnk.to/TIDAL

#Rodwave #LastLap",949607,41161,1492,2024-10-11T04:00:22Z
Music,KSI - Thick Of It (feat. Trippie Redd) [Official Music Video],"KSI - Thick Of It (feat. Trippie Redd) [Official Music Video]
Listen Now: https://lnk.to/Thickofit_Low

Follow KSI
Instagram: https://www.instagram.com/ksi
Facebook: https://www.facebook.com/KSIOlajidebt
Twitter: https://twitter.com/KSI
TikTok: https://www.tiktok.com/@ksi
Spotify: https://open.spotify.com/artist/1nzgtKYFckznkcVMR3Gg4z

Credits

Director: KC Locke
Exec Producer: Jenny O’Sullivan, Marisa Garner, KC Locke
Directors Rep: Marisa Garner
Production Company: Swords & Eagles
Producer: Gráinne Dwyer, Emily Power
DOP: Joe Douglas  
Production Designer: Jenny O'Sullivan
Editor: Jamil Shaukat  

Head of Video & Creative Commissioner: Kim Jarrett

********************************************** 
Prod coordinator: Zoë Brennan Whitmore
PA: Onai Tafuma, Laura Weiymi, Khaya Tafuma
Casting: Fiona Dwyer
Talent PA: Laura Whelan
Prod Accounts: Roisin Dwye, Catherine Brown

1st AD: Wes O’ Duinn
2nd AD: Nicola Long
1st AC:  Charlie Fleetwood
2nd AC: Patrick Moran
Camera Trainee: Jack Long
DIT: Jamil Shaukat
Grip: John Connon
Grip Assistant: Christopher Connon
Rigging: David Lawless ℅ Spectrum Productions

Gaffer: Andrej Pacher
Spark: Sean Smith
Best Boy: John Allan
Best Boy: James Farrell
Lighting Trainee: David Cleary
Buyer: Sean O’Mahony
Art Assistant: Edward Cunningham 
Art Assistant: Dave Dillon Keating
Set Dresser: Giovanna Chiarella
Props: Props 360
Props:AMPM

SFX: FX Ireland ℅ Brendan Byrne 
SFX Technician: Philippe Zone
Action Car: DNA Action Vehicles

KSI MUA: Shamara Roper
KSI Stylist:  Vivian Nwonka
MUA: Aitana Silvana
MUA: Cliona Campbell
Stylist: Eoin Gavin
Hair Stylist for talent: Gift Ndukwu

Talent: 
Ice Girl: Oyin Adeyemi
Stockbroker: John Manning 
Office Extra: Sasha Boyle
Office Extra: Lucy Loughran
Office Extra: Chris Wong
Office Extra: Jamie C
Office Extra: Diana Y

BTS: Firmative Media, Paddy McKeown, Conor Eiffe

**********************************************
Camera Rentals: Widescreen Hire
Lighting Rentals: Teach Solais & Production Services Ireland
Location utilities: Irish Film Location Facilities
Medic: Blue Screen Medics
Security: Pulse Security
Catering: The Divine Foodie

Special thanks to: Complex Studios, Dublin City Council, Fresh Point, Oxmantown, Boars Head & Bow Street. 

**********************************************

Post Producer: KC Locke
Post Supervisor: Jamil Shaukat
Editing House: Picture Lock

VFX Studio: Null Studios
VFX Producer: Jacob van Pelt, Justin Hwang

3D Artists:
Tehage Horgosigergely
Zoltán Szatmári
Samet Berk
Mustanu Eugeniu
Baurzhan Sabyrzhanov
Andrés Prieto

3D Simulation Artist:
LKSvisuals

VFX Compositing Artists: 
Anurag Raj
Jacob van Pelt
Valts Bergmanis
Tehage Horgosigergely

Keying/Cleanup Artists:
Andrés Prieto 
Rinalds Stilins 
Lleyton Watts

Colour House: Harbor Picture Co
Colour Producer: Charlie Moris 
Colourist: Alex Gregory 
Colour assist: Sarah Banks

Titles: Bimmy",18118965,420607,265061,2024-10-03T19:00:06Z
Music,Rod Wave - Last Lap (Official Audio),"Listen To Rod Wave's New Album ""Last Lap""
http://rodwave.lnk.to/LastLap

Everything Rod Wave: 
https://official-rodwave.com

Last Lap Tour Tickets:
http://rodwave.lnk.to/LastLapTickets

Follow Rod Wave:
► Instagram: https://www.instagram.com/rodwave/
► TikTok: https://rodwave.lnk.to/tiktok
► Facebook: https://www.facebook.com/rodwave
► Snapchat: https://www.snapchat.com/add/therealrodwave
► Discord: https://discord.gg/rodwave
► Twitter: https://twitter.com/rodwave

Listen to Rod Wave:
► Apple Music: https://rodwave.lnk.to/applemusic
► YouTube: https://rodwave.lnk.to/youtube
► Spotify: https://rodwave.lnk.to/spotify
► SoundCloud: https://rodwave.lnk.to/soundcloud
► Amazon: https://rodwave.lnk.to/amazonmusic
► TIDAL: https://rodwave.lnk.to/TIDAL

#Rodwave #LastLap",832136,40829,2545,2024-10-11T04:00:36Z
Music,Rod Wave - Angel With An Attitude (Official Audio),"Listen To Rod Wave's New Album ""Last Lap""
http://rodwave.lnk.to/LastLap

Everything Rod Wave: 
https://official-rodwave.com

Last Lap Tour Tickets:
http://rodwave.lnk.to/LastLapTickets

Follow Rod Wave:
► Instagram: https://www.instagram.com/rodwave/
► TikTok: https://rodwave.lnk.to/tiktok
► Facebook: https://www.facebook.com/rodwave
► Snapchat: https://www.snapchat.com/add/therealrodwave
► Discord: https://discord.gg/rodwave
► Twitter: https://twitter.com/rodwave

Listen to Rod Wave:
► Apple Music: https://rodwave.lnk.to/applemusic
► YouTube: https://rodwave.lnk.to/youtube
► Spotify: https://rodwave.lnk.to/spotify
► SoundCloud: https://rodwave.lnk.to/soundcloud
► Amazon: https://rodwave.lnk.to/amazonmusic
► TIDAL: https://rodwave.lnk.to/TIDAL

#Rodwave #LastLap",768887,37469,2218,2024-10-11T04:00:46Z
Music,JENNIE - Mantra (Official Music Video),"Official music video for “Mantra” by JENNIE out now: https://jennie.lnk.to/mantra

Directed by Tanu Muino

Follow JENNIE -

Instagram: https://www.instagram.com/jennierubyjane
TikTok: https://www.tiktok.com/@jennierubyjane
Twitter: https://twitter.com/jennierubyjane

https://jenn.ie

#JENNIE #Mantra #제니",20652533,2047352,153231,2024-10-11T00:00:06Z
Music,Latto - Brokey (Official Video),"Latto - Brokey (Official Video)

Listen to Sugar Honey Iced Tea:
https://latto.lnk.to/sugarhoneyicedtea

Subscribe for more official content from Latto:
https://latto.lnk.to/YouTubeSubscribe 
 
Follow Latto
https://www.biglatto.com/
https://shop.biglatto.com/
https://www.instagram.com/latto777 
https://www.tiktok.com/@latto777
https://twitter.com/Latto
https://www.facebook.com/BigLatto/
https://soundcloud.com/latto777
https://Latto.lnk.to/FollowAY/spotify
https://Latto.lnk.to/FollowAY/applemusic
https://Latto.lnk.to/FollowAY/tidal
 
The official YouTube channel of Latto. Subscribe for the latest music videos, performances, and more.

#latto  #brokey #sugarhoneyicedtea",983409,52978,2817,2024-10-11T16:00:05Z
Music,Shakira - Soltera (Official Video),"Music: 
Apple Music:  https://Shakira.lnk.to/Soltera/applemusic 
Spotify: https://Shakira.lnk.to/Soltera/spotify
Amazon: https://Shakira.lnk.to/Soltera/amazonmusicstreaming
YouTube: https://Shakira.lnk.to/Soltera/youtube
iTunes: https://Shakira.lnk.to/Soltera/itunes
Deezer: https://Shakira.lnk.to/Soltera/deezer
TikTok: https://Shakira.lnk.to/Soltera/tiktokusemysound
Pandora: https://Shakira.lnk.to/Soltera/pandora 

Lyrics/Letra:
Salí pa’ despejarme
Y ya cansada de estar apagada
Decidí prenderme
Cambié de amigos
Porque los que estaban solo hablaban de él
A las malas me tocó aprender
Que no tengo nada que perder
Y como ellos también

Yo tengo derecho de portarme mal 
Pa’ pasarla bien
Estoy suelta y ahora
Puedo hacer lo que quiera 
Se pasa rico soltera

Yo tengo derecho de portarme mal 
Pa’ pasarla bien 
Estoy suelta y ahora
Puedo hacer lo que quiera 
Se pasa rico soltera

El día está pa’ bote y playa
El día está pa’ bote y playa
Y para pasarme de la raya.
En la arena sobre la toalla,
Ese plancito nunca falla.
Esta nena tiene fans
Y el corazón partío, como Sanz
Muchos son los que me tiran, pero
Pocos son los que me dan.

Soy selectiva, poca trayectoria,
Normal,
Por razones obvias
Al amor le cogí fobia,
Perro que me escriba pantallazo y pa' su novia
Nadie va a decirme cómo me debo comportar
Pueden opinar, pero

Yo tengo derecho de portarme mal 
Pa’ pasarla bien
Estoy suelta y ahora
Puedo hacer lo que quiera 
Se pasa rico soltera
Yo tengo derecho de portarme mal 
Pa’ pasarla bien 
Estoy suelta y ahora
Puedo hacer lo que quiera 
Se pasa rico soltera

Con vista al mar, reservé el hotel
Ya me prendí con un solo coctel
Me puse poca ropa pa' mostrar la piel
La abeja reina está botando miel

Aun huele a verano aquí
¿Qué tiene de malo? Sí,
Eso es para usarlo y

Mi cuerpo está diciendo…

Yo tengo derecho de portarme mal 
Pa’ pasarla bien
Estoy suelta y ahora
Puedo hacer lo que quiera 
Se pasa rico soltera

Aun huele a verano aquí
¿Qué tiene de malo? Sí
Eso es para usarlo y

Mi cuerpo está diciendo…

Aun huele a verano aquí
Y eso es para usarlo, si
Hoy algo me gano aquí, 
 
Ay, 

Ahh, se pasa rico soltera 
Y ahora las lobas…

Yo tengo derecho de portarme mal 
Pa’ pasarla bien
Estoy suelta y ahora
Puedo hacer lo que quiera 
Se pasa rico soltera

Ay que rico…mira que rico
Yo tengo derecho de portarme mal 
Pa’ pasarla bien 
Pa’ que ese cabrón 
Cuando me vea le duela
Se pasa rico soltera

Yo tengo derecho de portarme mal 
Pa’ pasarla bien 
Pa’ que ese cabrón 
Cuando me vea le duela
Se pasa rico soltera

Shakira: 
Instagram: https://www.instagram.com/shakira
Tik Tok: https://www.tiktok.com/@shakira
Facebook: https://www.facebook.com/shakira

#Shakira #Soltera

Official Video by Shakira performing Soltera. (C) 2024 Ace Entertainment S.ar.l., under exclusive license to Sony Music Entertainment US Latin LLC",6016244,334639,22147,2024-10-11T16:00:32Z
Music,Eminem - Temporary (feat. Skylar Grey) [Official Music Video],"Eminem - Temporary (feat. Skylar Grey) 
Listen: https://eminem.lnk.to/TDOSSExpanded 

http://eminem.com
https://www.facebook.com/eminem
https://twitter.com/eminem
https://www.instagram.com/eminem

http://shadyrecords.com
https://www.facebook.com/ShadyRecords/
https://twitter.com/shadyrecords
https://www.instagram.com/shadyrecords

#Eminem #Temporary #SkylarGrey 

Music video by Eminem, Skylar Grey performing Temporary.© 2024 Marshall B. Mathers III",14769568,1009629,46684,2024-10-03T17:00:22Z
Music,GloRilla - Hollon (Official Music Video),"Stream ""Hollon"" out everywhere: https://glorilla.lnk.to/Hollon

Pre-Order Glorilla's debut album 'GLORIOUS' out 10/11: https://glorilla.lnk.to/Glorious
Follow #GloRilla:
Instagram: https://www.instagram.com/glorillapimp/
Twitter: https://twitter.com/GloTheofficial
TikTok: https://www.tiktok.com/@glorilla03
Facebook: https://www.facebook.com/gloyaltygirl
Merch: https://shop.glorillaofficial.com/
Keep up with GloRilla on #GloRidaz:
Instagram: https://www.instagram.com/gloridazofficial/
Twitter: https://twitter.com/RealGloridaz
TikTok: https://www.tiktok.com/@gloridazofficial

#GloRilla #GLORIOUS #Hollon #CMGTheLabel

Music video by GloRilla performing Hollon.© 2024 CMG/Interscope Records",2720028,77830,2790,2024-10-04T19:00:24Z
